"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
"51",0,0,60,0,100,0,20,0,10,10,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,70,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,10,0,190,110,0,80,190,40,0,10,0,10,100,10,10,0,0,10,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,20
"52",0,0,10,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,50,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"53",50,0,60,20,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,120,0,10,0,0,0,0,0,0,10,260,60,0,0,0,0,0,0,0,0,0,0,0,90,130,0,0,0,0,0,0,0,0,30
"54",30,0,70,0,10,0,80,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,0,10,10,0,0,20,0,0,0,10,0,1450,0,0,10,0,0,0,0,90,0,0,0,0,60,70,0,0,0,0,0,0,0,0,10
"55",530,30,1090,20,50,270,920,20,40,150,0,280,110,40,0,70,0,40,0,40,30,610,140,10,10,60,20,60,160,10,40,0,0,40,0,80,200,0,200,10,40,1650,90,50,110,10,80,40,100,50,100,20,110,910,0,80,250,10,60,10,30,50,210,50,80,150,450,3760,1590,580,170,30,60,0,0,0,10,370
"56",10,0,0,10,20,0,140,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,20,0,0,80,0,10,0,0,30,10,190,0,10,0,0,0,0,0,0,10,0,0,0,40,80,0,0,0,0,0,0,0,0,0
"57",0,0,20,0,50,10,40,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,0,60,20,0,0,0,30,10,10,0,30,0,420,20,0,0,0,10,0,20,0,20,30,0,50,10,50,60,0,0,0,0,0,0,0,20
"58",10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10,40,0,0,10,0,0,0,40,0,0,0,50,10,10,0,0,0,10,0,10,50,40,0,0,0,0,0,0,0,0,10
"59",0,0,0,0,0,10,60,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,40,10,0,0,0,20,0,20,0,0,0,0,0,60,0,10,10,0,0,0,0,0,0,120
"60",20,0,10,0,0,0,120,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,40,0,0,20,70,0,0,0,0,0,0,0,20,30,0,20,10,0,0,0,0,0,0,80
