"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"56",460,0,0,20,0,0,20,40,0,0,0,0,0,0,0,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,20,0,80,0,0,0,40,0,0,0,0,40,100,0,20,80,500,120,0,60,480,160,440,0,0,140,40,2960,40,0,0,0,0,0,20,0,0
"57",1020,80,120,0,20,0,120,280,0,40,20,0,180,20,0,0,0,220,0,0,80,0,260,0,0,60,60,0,0,0,20,0,20,0,0,20,120,0,20,0,0,0,0,80,40,20,80,1900,700,0,140,0,20,20,0,0,0,40,0,80,180,0,0,0,0,0,0,0,0
"58",2140,420,320,20,0,60,300,60,40,20,40,0,280,40,0,20,0,20,0,20,100,0,0,20,20,40,40,40,20,0,0,60,200,40,180,260,240,100,40,0,80,100,20,500,420,60,160,20,1560,1160,160,20,160,200,340,540,20,0,1220,3600,1060,3040,680,200,320,520,1300,320,420
"59",640,160,40,0,0,0,160,180,0,20,0,0,0,0,0,0,0,0,40,0,60,0,20,0,0,20,0,0,20,0,0,0,0,0,40,100,80,140,0,0,40,40,0,40,20,40,120,480,520,500,180,80,180,100,120,60,600,2040,0,1780,660,60,20,140,20,40,60,0,20
"60",2640,260,420,40,60,40,380,100,60,20,0,0,300,20,0,0,0,20,20,0,120,20,0,0,0,60,0,0,0,0,0,80,100,180,440,240,280,20,80,0,40,160,80,260,240,60,160,240,2440,3540,140,180,800,440,280,1720,0,2400,260,0,180,520,200,140,280,640,2000,400,660
"61",520,20,100,0,0,0,0,60,20,0,0,0,60,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,20,40,0,0,20,0,60,0,20,0,20,0,20,20,0,0,0,40,0,100,220,260,0,40,40,40,160,0,0,1780,60,320,0,60,60,20,40,80,80,60,40
"62",5100,900,520,40,60,0,40,60,340,0,120,0,600,80,0,0,0,0,20,0,40,40,0,0,0,60,0,0,20,0,0,200,20,40,860,260,580,40,20,0,100,80,20,240,300,0,140,40,1820,780,220,0,0,280,100,300,0,5940,260,2560,160,0,1280,720,1120,1540,2320,720,1840
"63",640,100,0,0,20,0,0,80,20,0,0,0,120,0,0,0,0,20,0,0,40,0,20,0,0,0,0,0,20,0,0,0,0,0,80,80,0,0,0,0,0,0,0,20,40,20,0,20,140,60,0,0,0,20,100,0,0,1880,20,240,60,1000,0,60,20,120,140,20,40
"64",1120,160,100,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,20,340,140,160,40,40,40,40,20,0,40,40,0,220,0,700,140,20,20,20,0,0,0,0,220,0,300,0,860,240,0,1100,120,0,20,220
"65",7620,340,660,0,20,40,0,60,240,160,20,100,1640,20,140,0,0,20,0,0,140,100,0,0,0,20,40,0,0,0,0,0,40,20,1240,180,1380,580,40,0,80,0,0,380,100,0,160,40,1800,400,180,0,40,140,0,20,0,620,20,1560,60,1640,220,1380,0,540,120,360,1920
"66",13720,1340,1180,20,40,20,260,40,300,160,260,20,1700,40,0,40,20,20,0,0,80,100,0,0,20,0,20,0,20,0,0,40,260,120,1860,240,800,160,100,40,160,100,20,420,500,40,100,60,2380,2620,60,20,40,120,100,220,0,1880,220,4020,60,3520,160,400,780,0,3420,1500,2240
"67",980,40,20,0,0,100,0,0,20,0,60,0,240,160,60,0,0,0,20,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,20,0,0,0,0,0,0,0,0,0,100,20,180,120,0,40,20,0,0,160,0,760,20,1140,0,780,0,80,80,860,0,460,120
"68",13660,1620,1080,0,20,0,80,20,0,0,40,0,860,40,40,40,0,0,0,0,0,40,20,0,0,40,20,0,0,0,0,200,80,100,1800,260,280,20,60,40,280,40,20,700,440,0,340,180,1740,4160,120,20,20,60,40,60,0,520,60,1780,0,700,60,240,240,2400,1820,0,720
"69",5140,900,500,20,0,20,40,80,180,20,140,20,1120,40,180,0,0,60,40,0,80,240,0,0,20,0,60,0,60,0,0,40,100,100,1320,60,760,100,80,20,240,220,60,120,320,40,140,60,1380,240,60,80,60,0,0,0,0,520,60,960,40,1340,0,220,1220,2080,300,460,0
