"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"47",112,72,130,45,92,93,74,73,8,31,46,144,19,45,48,119,39,55,46,23,105,9,0,48,36,384,70,169,156,130,305,119,152,83,90,58,75,123,1091,1135,3027,25,328,593,11281,10871,0,535,2423,442,306,93,12,270,218,66,184,51,68,22,19,8,64
"48",29,13,43,12,9,11,19,33,0,3,0,7,0,0,0,9,0,7,8,56,8,0,0,9,4,110,15,15,0,20,32,54,43,80,31,58,23,52,108,152,120,21,173,200,22619,6777,750,0,1364,300,1598,250,146,254,165,76,102,44,84,50,57,6,5
"49",576,158,553,184,470,88,282,336,9,67,25,105,13,60,22,236,72,120,172,215,92,28,5,24,35,351,535,401,211,387,421,267,177,318,134,82,528,145,476,626,1996,160,2071,2311,45426,14096,1946,632,0,3934,1054,234,300,736,452,177,173,102,488,121,129,36,51
"50",597,57,109,34,127,17,367,86,0,0,1,17,3,51,2,19,59,39,26,20,10,16,0,0,17,124,216,187,179,103,131,112,68,221,156,68,270,89,168,141,289,75,535,483,20669,2821,546,218,5807,0,190,101,267,414,324,100,78,121,201,88,82,22,93
"51",44,28,31,39,14,0,18,14,0,0,1,0,5,0,0,6,12,4,20,67,13,0,0,0,4,31,3,13,6,18,43,51,5,0,46,14,92,10,11,216,126,23,33,179,47873,5063,521,1632,2118,691,0,1279,192,2568,640,291,244,111,511,80,142,91,47
"52",80,54,32,135,3,14,40,16,0,0,0,2,20,0,0,6,0,0,37,0,48,3,0,0,21,84,3,51,36,8,40,58,4,99,20,11,79,46,22,147,157,17,218,258,39278,19792,523,837,3806,2174,2960,0,4318,1883,916,3693,432,296,3925,309,984,81,181
"53",69,40,4,13,18,0,36,8,3,0,0,5,12,0,0,14,0,0,4,12,0,0,0,0,0,28,10,9,6,0,21,7,66,121,69,35,120,19,107,122,123,35,242,205,33124,42995,436,701,4837,1450,2006,5383,0,873,397,1528,370,444,4973,370,6329,153,201
"54",61,31,15,0,0,10,0,12,0,0,0,0,0,0,4,0,0,8,0,5,0,0,0,0,0,30,0,14,4,0,47,23,63,41,17,8,41,0,19,151,28,31,291,196,61379,7895,631,663,3775,1181,5329,1801,402,0,1548,1621,310,139,1426,164,276,39,165
"55",56,0,16,0,27,24,31,15,0,0,0,0,0,0,0,13,3,0,0,4,21,0,0,0,0,23,22,49,9,13,7,81,42,24,22,0,87,9,17,667,213,61,266,343,57317,11851,826,812,4082,1241,2132,887,440,4087,0,1650,968,124,1971,230,203,33,266
"56",154,59,4,0,0,3,8,10,0,9,0,0,10,0,0,0,5,5,7,0,3,1,0,8,2,74,10,0,25,8,29,86,18,42,92,0,20,2,23,105,49,70,108,105,35562,12811,477,455,3655,1074,1657,1466,722,1137,670,0,2526,593,5848,679,335,136,152
"57",131,0,0,6,0,13,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,8,31,5,0,26,12,28,27,6,3,9,17,15,9,2,179,89,8,132,174,36626,14930,848,525,3069,940,1275,314,315,577,628,2613,0,206,1637,746,213,99,203
"58",98,8,20,6,0,0,0,13,0,0,0,63,5,0,0,27,0,0,44,14,38,0,6,0,11,34,0,29,25,2,28,69,107,54,104,120,39,7,19,83,59,17,117,132,10581,6972,139,239,1969,587,478,115,298,207,161,874,244,0,10252,1607,922,171,182
"59",250,52,70,58,0,5,18,12,0,0,0,0,12,0,0,114,44,11,51,7,7,4,0,5,0,49,19,43,22,39,24,141,132,61,93,26,247,8,9,186,139,61,205,245,22913,7224,339,419,3462,1474,855,896,2484,677,356,1604,463,2446,0,1398,1967,258,425
"60",44,6,17,10,0,0,30,7,0,0,0,0,0,0,0,18,0,0,0,0,0,6,1,0,6,34,46,9,7,4,17,69,36,70,22,29,122,3,20,138,56,22,105,98,27372,19168,313,687,3175,781,1236,395,455,456,236,1143,1235,1992,5333,0,664,1203,464
"61",121,30,17,0,266,19,66,27,7,6,9,13,9,0,4,45,6,7,0,0,29,0,0,0,15,76,85,85,42,16,107,63,18,180,34,41,11,31,158,107,257,39,315,359,22295,15570,361,444,10628,1602,1341,1321,3160,509,315,1079,267,1916,6115,448,0,327,1017
"62",136,3,32,6,9,0,7,52,0,0,0,0,0,0,0,0,7,0,0,19,0,4,0,0,0,25,19,7,18,11,64,34,9,75,0,12,12,0,55,30,101,16,96,94,17150,8239,455,264,4363,597,1022,185,253,232,141,536,158,859,1781,1889,1121,0,2476
"63",102,57,85,21,20,13,101,251,0,9,0,0,0,36,0,39,27,0,13,6,14,2,0,0,4,51,14,51,51,16,82,53,23,32,38,40,34,5,76,82,442,28,428,160,21055,19174,1233,716,10018,829,860,303,385,790,608,1197,312,452,4112,1042,2820,2207,0
